"","matrix(sp_nm, dim(mySpeciesOcc)[1], 1)","pa","X","Y"
"415","Akekee",1,-159.5587834,22.1005568
"417","Akekee",1,-159.5581626,22.09307864
"418","Akekee",1,-159.5581396,22.09955621
"419","Akekee",1,-159.5579023,22.09096554
"421","Akekee",1,-159.5573988,22.09853788
"423","Akekee",1,-159.5566985,22.09052697
"424","Akekee",1,-159.5565711,22.09759211
"426","Akekee",1,-159.5555427,22.08994368
"427","Akekee",1,-159.5555695,22.09680955
"429","Akekee",1,-159.555331,22.08540021
"430","Akekee",1,-159.554655,22.09596344
"433","Akekee",1,-159.5537888,22.09510813
"437","Akekee",1,-159.5533251,22.07312053
"442","Akekee",1,-159.5526467,22.09307028
"443","Akekee",1,-159.5525138,22.06637474
"444","Akekee",1,-159.5522728,22.08665729
"446","Akekee",1,-159.5517616,22.09230537
"447","Akekee",1,-159.5515014,22.06774232
"448","Akekee",1,-159.5515476,22.08712048
"450","Akekee",1,-159.5510313,22.09148572
"451","Akekee",1,-159.5509982,22.08794444
"453","Akekee",1,-159.5501102,22.08891409
"454","Akekee",1,-159.5498664,22.09103793
"455","Akekee",1,-159.5492512,22.06982775
"456","Akekee",1,-159.5489501,22.08974009
"457","Akekee",1,-159.5487876,22.09033689
"459","Akekee",1,-159.5479352,22.09049334
"460","Akekee",1,-159.5478734,22.08955399
"462","Akekee",1,-159.5475729,22.07950899
"466","Akekee",1,-159.5470663,22.09141773
"467","Akekee",1,-159.5468602,22.07313324
"468","Akekee",1,-159.5466737,22.08009922
"469","Akekee",1,-159.5464407,22.0875532
"470","Akekee",1,-159.5463674,22.081094
"471","Akekee",1,-159.5461483,22.0921887
"472","Akekee",1,-159.546038,22.07357866
"473","Akekee",1,-159.5454852,22.0734992
"474","Akekee",1,-159.5454022,22.07208111
"475","Akekee",1,-159.5451955,22.07376216
"477","Akekee",1,-159.5451813,22.09278819
"478","Akekee",1,-159.5445969,22.07185794
"479","Akekee",1,-159.5444304,22.07394539
"480","Akekee",1,-159.5443566,22.08249198
"481","Akekee",1,-159.5438276,22.09371418
"482","Akekee",1,-159.5437259,22.07220413
"483","Akekee",1,-159.543158,22.08339034
"484","Akekee",1,-159.5428418,22.09447633
"485","Akekee",1,-159.5425176,22.07306639
"486","Akekee",1,-159.5422015,22.08421563
"487","Akekee",1,-159.5419149,22.0954551
"488","Akekee",1,-159.5416001,22.07392768
"489","Akekee",1,-159.5412641,22.08495954
"493","Akekee",1,-159.5398429,22.07574033
"494","Akekee",1,-159.5396647,22.08495579
"496","Akekee",1,-159.5388866,22.07660173
"497","Akekee",1,-159.5387279,22.08587133
"498","Akekee",1,-159.5384733,22.07752458
"499","Akekee",1,-159.537883,22.06240327
"500","Akekee",1,-159.5378495,22.06892608
"501","Akekee",1,-159.5378198,22.0866874
"502","Akekee",1,-159.5376833,22.07878293
"503","Akekee",1,-159.5368478,22.06290355
"504","Akekee",1,-159.5368245,22.08750375
"505","Akekee",1,-159.5367474,22.0696705
"506","Akekee",1,-159.5367748,22.07949962
"508","Akekee",1,-159.5357151,22.06323249
"509","Akekee",1,-159.5357802,22.08821184
"510","Akekee",1,-159.5354496,22.06994578
"511","Akekee",1,-159.5349696,22.06344272
"512","Akekee",1,-159.5348714,22.08884721
"513","Akekee",1,-159.5346393,22.07095123
"514","Akekee",1,-159.5345073,22.0642031
"515","Akekee",1,-159.5344682,22.06927142
"516","Akekee",1,-159.5344274,22.08162131
"517","Akekee",1,-159.5339604,22.06826125
"518","Akekee",1,-159.5338122,22.06492811
"519","Akekee",1,-159.5337502,22.08970912
"520","Akekee",1,-159.5336744,22.07211076
"521","Akekee",1,-159.5335833,22.06592262
"522","Akekee",1,-159.5334461,22.07327691
"523","Akekee",1,-159.5334505,22.08218462
"524","Akekee",1,-159.5331605,22.06689969
"526","Akekee",1,-159.5325186,22.07406591
"527","Akekee",1,-159.5324547,22.08287446
"529","Akekee",1,-159.531479,22.08376299
"530","Akekee",1,-159.5311289,22.07569659
"532","Akekee",1,-159.5305418,22.08457911
"534","Akekee",1,-159.5297395,22.085187
"536","Akekee",1,-159.5286763,22.08601255
"538","Akekee",1,-159.5277045,22.08013443
"539","Akekee",1,-159.5275356,22.08685642
"540","Akekee",1,-159.5271445,22.08075056
"541","Akekee",1,-159.5266561,22.08756392
"542","Akekee",1,-159.5261686,22.08156678
"545","Akekee",1,-159.5242503,22.08447292
"546","Akekee",1,-159.5231288,22.08525346
"547","Akekee",1,-159.5226471,22.07554322
"548","Akekee",1,-159.5225008,22.07002379
"558","Akekee",1,-159.5186568,22.07638707
"565","Akekee",1,-159.5152459,22.07400379
"573","Akekee",1,-159.6145778,22.1509905
"2010","Akiapolauu",1,-155.8016102,19.41468589
"2057","Akiapolauu",1,-155.8002965,19.41466102
"2107","Akiapolauu",1,-155.7980608,19.38187566
"2149","Akiapolauu",1,-155.7939051,19.22978396
"4237","Akiapolauu",1,-155.6206609,19.82308398
"4290","Akiapolauu",1,-155.615555,19.82300541
"4405","Akiapolauu",1,-155.6016815,19.82299155
"4484","Akiapolauu",1,-155.594371,19.82289032
"4503","Akiapolauu",1,-155.5927873,19.82290431
"4542","Akiapolauu",1,-155.5897838,19.82302921
"4558","Akiapolauu",1,-155.5885535,19.82306512
"4578","Akiapolauu",1,-155.5871444,19.8291445
"4583","Akiapolauu",1,-155.5866749,19.83903886
"4587","Akiapolauu",1,-155.5858568,19.7985072
"4593","Akiapolauu",1,-155.5856537,19.8231162
"4611","Akiapolauu",1,-155.5842141,19.82319123
